olive_plan_id,olive_plan_name,platform,olive_placement_id,olive_placement_type,date,opid,In_View_Impressions,Valid_and_Viewable_Impressions,In_View_Measurable_Impressions_viewability,Audible_And_Visible_On_Complete,In_View_Measurable_Impressions_AVOC,Valid_and_AVOC_Impressions
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989229,In-stream video (skippable),2022-02-01,2989229,60316,,144761,2307,144761,2307
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990669,In-stream video (skippable),2022-02-01,2990669,64982,64982,64982,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989296,In-stream video (skippable),2022-02-01,2989296,664,,2502,168,2502,168
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989304,In-stream video (skippable),2022-02-01,2989304,50,,171,5,171,5
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989232,In-stream video (skippable),2022-02-01,2989232,35390,,127111,1116,127111,1116
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Twitter - Official,2989305,In-stream video (skippable),2022-02-01,2989305,,1824990,,,,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990642,In-stream video (skippable),2022-02-01,2990642,713,,12117,,12117,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990675,In-stream video (skippable),2022-02-01,2990675,293,,379,,379,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989302,In-stream video (skippable),2022-02-01,2989302,422,,1398,94,1398,94
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Facebook/Instagram,2989226,In-stream video (skippable),2022-02-01,2989226,34622,,130567,1126,130567,1126
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990652,In-stream video (skippable),2022-02-01,2990652,40,,733,,733,
15888,Pixel Brand US Q1 2022 Q1 2022 North America,Snapchat,2990680,In-stream video (skippable),2022-02-01,2990680,371,,581,,581,
